Date,Dividends
DIVIDEND, 20110506,0.750000
DIVIDEND, 20110208,0.650000
DIVIDEND, 20101108,0.650000
DIVIDEND, 20100806,0.650000
DIVIDEND, 20100506,0.650000
DIVIDEND, 20100208,0.550000
DIVIDEND, 20091106,0.550000
DIVIDEND, 20090806,0.550000
DIVIDEND, 20090506,0.550000
DIVIDEND, 20090206,0.500000
DIVIDEND, 20081106,0.500000
DIVIDEND, 20080806,0.500000
DIVIDEND, 20080507,0.500000
DIVIDEND, 20080206,0.400000
DIVIDEND, 20071107,0.400000
DIVIDEND, 20070808,0.400000
DIVIDEND, 20070508,0.400000
DIVIDEND, 20070207,0.300000
DIVIDEND, 20061108,0.300000
DIVIDEND, 20060808,0.300000
DIVIDEND, 20060508,0.300000
DIVIDEND, 20060208,0.200000
DIVIDEND, 20051108,0.200000
DIVIDEND, 20050808,0.200000
DIVIDEND, 20050506,0.200000
DIVIDEND, 20050208,0.180000
DIVIDEND, 20041108,0.180000
DIVIDEND, 20040806,0.180000
DIVIDEND, 20040506,0.180000
DIVIDEND, 20040206,0.160000
DIVIDEND, 20031106,0.160000
DIVIDEND, 20030806,0.160000
DIVIDEND, 20030507,0.160000
DIVIDEND, 20030206,0.150000
DIVIDEND, 20021106,0.150000
DIVIDEND, 20020807,0.150000
DIVIDEND, 20020508,0.150000
DIVIDEND, 20020206,0.140000
DIVIDEND, 20011107,0.140000
DIVIDEND, 20010808,0.140000
DIVIDEND, 20010508,0.140000
DIVIDEND, 20010207,0.130000
DIVIDEND, 20001108,0.130000
DIVIDEND, 20000808,0.130000
DIVIDEND, 20000508,0.130000
DIVIDEND, 20000208,0.120000
DIVIDEND, 19991108,0.120000
DIVIDEND, 19990806,0.120000
SPLIT, 19990527,2:1
DIVIDEND, 19990506,0.120000
DIVIDEND, 19990208,0.110000
DIVIDEND, 19981106,0.110000
DIVIDEND, 19980806,0.110000
DIVIDEND, 19980506,0.110000
DIVIDEND, 19980206,0.100000
DIVIDEND, 19971106,0.100000
DIVIDEND, 19970807,0.100000
SPLIT, 19970528,2:1
DIVIDEND, 19970206,0.087500
DIVIDEND, 19961106,0.087500
DIVIDEND, 19960807,0.087500
